server_name,server_url,owner,repo,github_stars,download_count,experimental_ai_generated_description,github_stars.1,forks,latest_commit_date,server_github_url
ClickUp,https://www.pulsemcp.com/servers/nsxdavid-clickup,nsxdavid,clickup-mcp-server,7.0,1136.0,"ClickUp MCP Server provides a standardized interface for AI assistants to interact with the ClickUp API, enabling access to workspaces, spaces, folders, lists, tasks, docs, comments, and checklists. Developed by David Whatley, this Node.js implementation exposes both tools for performing actions (like creating tasks or updating checklists) and resources for retrieving data through URI templates. The server runs on stdio transport, making it compatible with Claude Desktop and VSCode Extension integrations, and is particularly valuable for users who need to manage ClickUp projects directly from their AI assistant conversations.",7,4,2025-04-14T22:49:39Z,https://github.com/nsxdavid/clickup-mcp-server
Azure DevOps,https://www.pulsemcp.com/servers/ryancardin15-azuredevops,ryancardin15,azuredevops-mcp,17.0,,"This Azure DevOps MCP server provides seamless integration with Azure DevOps services, enabling AI assistants to manage work items, code repositories, boards, sprints, and projects through a standardized interface. Built with TypeScript and the Model Context Protocol SDK, it exposes tools organized into four main categories: Work Item Tools for task management, Boards & Sprints Tools for agile workflow management, Project Tools for organizational structure, and Git Tools for source control operations. The implementation requires an Azure DevOps Personal Access Token for authentication and is designed to be easily extensible through a documented tool registration process.",17,10,2025-04-01T13:40:30Z,https://github.com/ryancardin15/azuredevops-mcp
cuBe (Blender),https://www.pulsemcp.com/servers/themapleseed-cube-blender,themapleseed,cube,1.0,,"BlenderMCP enables AI assistants like Cursor AI to control Blender programmatically through a socket connection, allowing for creation and manipulation of 3D objects. The implementation provides a two-way communication protocol that supports object creation, material control, scene inspection, code execution, viewport capture, and live preview streaming. It includes installation scripts for Windows, macOS, and Linux, with testing utilities to verify the connection. This tool is particularly valuable for workflows where AI needs to generate or modify 3D content in Blender without requiring manual intervention.",1,0,2025-03-19T12:21:13Z,https://github.com/themapleseed/cube
Memory Service,https://www.pulsemcp.com/servers/doobidoo-memory-service,doobidoo,mcp-memory-service,237.0,,"This MCP implementation, built with Python, provides a versatile framework for integrating with ChromaDB, a vector database for AI applications. It utilizes sentence transformers for efficient text embedding and tokenization, enabling advanced natural language processing capabilities. The implementation supports websocket connections, allowing for real-time data exchange and updates. By combining these technologies, it offers a robust solution for building AI-powered applications that require semantic search, document similarity comparisons, and content recommendation systems. This implementation is particularly well-suited for use cases such as intelligent document retrieval, content categorization, and personalized information delivery across various domains.",243,39,2025-04-28T20:17:34Z,https://github.com/doobidoo/mcp-memory-service
Tavily Search,https://www.pulsemcp.com/servers/it-beard-tavily,it-beard,tavily-server,6.0,,"This Tavily MCP server, developed by the Tavily MCP Server Contributors, integrates Tavily's AI-powered search capabilities into MCP-compatible workflows. Built with TypeScript and leveraging the @modelcontextprotocol/sdk, it provides a streamlined interface for performing web searches through Claude Desktop and other MCP clients. The implementation offers both basic and advanced search depths, result caching, and persistent storage of search history. It stands out by providing AI-generated summaries alongside traditional search results. This server is particularly useful for AI assistants and developers looking to incorporate up-to-date web information into their applications, enabling natural language-driven research and information retrieval.",6,0,2024-12-13T21:11:10Z,https://github.com/it-beard/tavily-server
Fused UDF,https://www.pulsemcp.com/servers/fused-udf,fusedio,fused-mcp,25.0,,"Fused MCP is a Python-based implementation that enables data scientists to easily connect Claude and other LLMs to executable Python code through User Defined Functions (UDFs). Built by Fused Labs, it provides a simple workflow for setting up MCP servers that can run either locally or remotely, with pre-built agents for common tasks like retrieving current time and fetching news. The repository includes step-by-step notebooks for both using existing functions and creating custom agents, making it particularly valuable for data scientists who want to extend their LLMs with Python capabilities without leaving their conversation interface.",25,8,2025-04-18T08:47:05Z,https://github.com/fusedio/fused-mcp
Figma Chunked,https://www.pulsemcp.com/servers/archimedes-figma-chunked,archimedescrypto,figma-mcp-chunked,1.0,,"Figma MCP Server with Chunking provides a memory-efficient interface to the Figma API, designed to handle large Figma files by breaking operations into manageable chunks with pagination support. It features configurable memory limits, node type filtering, progress tracking, and resume capabilities for interrupted operations. The implementation includes tools for retrieving file data, listing files, accessing version history, comments, components, styles, and specific nodes, making it particularly valuable for designers and developers who need to programmatically access and analyze complex Figma designs without memory constraints.",1,1,2025-04-30T03:17:18Z,https://github.com/archimedescrypto/figma-mcp-chunked
DeepSRT,https://www.pulsemcp.com/servers/deepsrt-youtube-summarizer,deepsrt,deepsrt-mcp,34.0,,"This MCP server provides YouTube video summarization functionality through integration with DeepSRT's API. It offers tools to generate summaries in narrative or bullet-point formats, with multi-language support. The server leverages content caching and CDN edge delivery for efficient summary retrieval, making it suitable for applications requiring quick access to video content summaries.",34,3,2025-03-02T04:40:59Z,https://github.com/deepsrt/deepsrt-mcp
Canvas Student,https://www.pulsemcp.com/servers/jon-vii-canvas-student,jon-vii,canvas-student-mcp,0.0,,"Canvas Student MCP provides a bridge to Canvas LMS, enabling students to interact with their course data through Claude. Built as a lightweight Python tool using the FastMCP framework, it exposes tools for retrieving courses, assignments, files, quizzes, and to-do items with rich, Claude-optimized formatting. Particularly valuable for students who want to quickly access and manage their academic information without navigating multiple interfaces.",0,0,2025-03-17T19:16:55Z,https://github.com/jon-vii/canvas-student-mcp/tree/HEAD/src/canvas-student
Apple Notes,https://www.pulsemcp.com/servers/tom-semple-apple-notes,tom-semple,mcp-apple-notes-fixed,6.0,,"This MCP server implementation provides integration with Apple Notes, enabling AI assistants to interact with and manage notes. It offers tools for listing, searching, creating, and indexing notes, utilizing both vector and full-text search capabilities. The server uses LanceDB for efficient data storage and retrieval, and incorporates on-device embedding for enhanced privacy. Developed for use cases requiring natural language interaction with personal notes, such as information retrieval, note organization, and content creation within the Apple Notes ecosystem.",7,0,2025-03-03T17:19:33Z,https://github.com/tom-semple/mcp-apple-notes-fixed
Etherscan Tools,https://www.pulsemcp.com/servers/crazyrabbitltc-etherscan-tools,crazyrabbitltc,mcp-etherscan-server,17.0,,"This MCP Etherscan server provides Ethereum blockchain data tools via Etherscan's API. Built with TypeScript and leveraging the ethers.js library, it offers features like balance checking, transaction history viewing, token transfer tracking, contract ABI fetching, gas price monitoring, and ENS name resolution. The server is designed to run on stdio, making it compatible with MCP clients like Claude Desktop. By abstracting Etherscan API interactions into standardized MCP tools, it enables AI systems to easily access and analyze Ethereum blockchain data. This implementation is particularly useful for applications requiring real-time Ethereum data, such as DeFi analytics, wallet monitoring, or smart contract development assistance.",17,11,2024-12-31T17:32:56Z,https://github.com/crazyrabbitltc/mcp-etherscan-server
Gemini AI,https://www.pulsemcp.com/servers/gemini,bsmi021,mcp-gemini-server,13.0,,"MCP-Gemini-Server provides a robust interface to Google's Gemini AI models through a collection of specialized tools. Built with TypeScript and the Model Context Protocol SDK, it enables AI assistants to leverage Gemini's capabilities including content generation, chat functionality, function calling, and file/cache management. The server implements both streaming and non-streaming content generation, supports stateful chat sessions with function execution, and offers comprehensive file and cache operations for optimizing performance. This implementation stands out by providing fine-grained control over generation parameters, safety settings, and tool configurations while handling error cases gracefully. It's particularly valuable for developers building AI applications that need direct access to Gemini's advanced features through a standardized protocol.",13,3,2025-04-03T21:34:36Z,https://github.com/bsmi021/mcp-gemini-server
Supabase,https://www.pulsemcp.com/servers/cappahccino-supabase,cappahccino,sb-mcp,1.0,2764.0,"Supabase MCP Server enables Claude and other LLMs to interact with Supabase databases and Edge Functions through a standardized API. It provides tools for performing CRUD operations on Postgres tables and invoking Edge Functions with custom payloads, all secured by API key authentication. The implementation includes a complete Express server with database query builders, comprehensive error handling, and configuration management, making it particularly valuable for applications that need AI assistants to access or modify data in Supabase projects without requiring custom integration code.",1,3,2025-03-21T20:13:22Z,https://github.com/cappahccino/sb-mcp
Filesystem,https://www.pulsemcp.com/servers/wayazi-filesystem,wayazi,mcp_file_system,3.0,,"A filesystem operations MCP server that provides secure access to files and directories through a standardized interface. Developed by Wayazi, it features robust path validation to ensure operations only occur within allowed directories specified at startup. The server implements essential file operations (read/write), directory management (create/list/delete), file movement, metadata retrieval, and search capabilities with pattern matching. Containerized with Docker for easy deployment, it's designed for AI assistants that need controlled access to filesystem resources while maintaining security boundaries.",3,0,2025-04-06T16:24:19Z,https://github.com/wayazi/mcp_file_system
Claude Prompts,https://www.pulsemcp.com/servers/minipuft-claude-prompts,minipuft,claude-prompts-mcp,7.0,,"Claude Custom Prompts MCP Server provides a flexible, template-based prompt system for Claude AI models. Built with TypeScript and Node.js, it allows users to define and manage custom prompts in markdown format organized by categories, with support for both simple prompts and multi-step prompt chains. The server includes a comprehensive API for prompt management, execution via STDIO or SSE transports, and features like conversation history tracking and error handling. Particularly valuable for users who need to standardize interactions with Claude across different use cases, it enables complex reasoning workflows through its chain execution capabilities while maintaining a modular, extensible architecture.",7,2,2025-03-07T07:18:20Z,https://github.com/minipuft/claude-prompts-mcp
Gopls,https://www.pulsemcp.com/servers/hloiseaufcms-gopls,hloiseaufcms,mcp-gopls,14.0,,"MCP-Gopls is a server implementation that bridges the Go Programming Language Server (gopls) with the Model Context Protocol, enabling AI assistants to perform advanced code analysis on Go projects. It provides tools for code navigation (go-to-definition, find references), code completion, hover documentation, diagnostic error checking, and test coverage analysis. The server manages communication with the gopls language server through JSON-RPC, handling initialization, reconnection, and message formatting to make Go's powerful static analysis capabilities accessible through a standardized MCP interface.",14,2,2025-04-09T14:11:40Z,https://github.com/hloiseaufcms/mcp-gopls
Git Repo Browser,https://www.pulsemcp.com/servers/razorback16-git-repo-browser,razorback16,mcp-git-repo-browser,2.0,,"This Node.js implementation of a Git repository browser leverages the Model Context Protocol (MCP) to provide efficient and deterministic access to remote Git repositories. Developed by Razorback16, it offers two main tools: one for retrieving a tree-like representation of a repository's directory structure, and another for reading the contents of specified files. The server utilizes native Node.js modules, fs-extra for enhanced file operations, and simple-git for Git repository interactions. It implements clean error handling, resource cleanup, and creates deterministic temporary directories based on repository URL hashes. This implementation is particularly useful for AI assistants or applications that need to analyze or interact with Git repositories programmatically, without requiring local clones.",2,1,2025-02-18T08:30:45Z,https://github.com/razorback16/mcp-git-repo-browser
Filesystem,https://www.pulsemcp.com/servers/quantgeekdev-filesystem,quantgeekdev,mcp-filesystem,4.0,,"Filesystem MCP server providing a robust set of file system interaction tools for AI agents. Implements core file operations like reading, writing, creating directories, moving files, and retrieving file metadata through a standardized TypeScript-based interface. Designed to enable precise, controlled file system manipulation with detailed error handling and comprehensive tool descriptions.",4,1,2025-03-17T00:44:52Z,https://github.com/quantgeekdev/mcp-filesystem
VS Code,https://www.pulsemcp.com/servers/juehang-vscode,juehang,vscode-mcp-server,32.0,,"VS Code MCP Server enables AI assistants to interact directly with VS Code workspaces through a standardized protocol. Developed by Qin Juehang, this extension exposes VS Code's filesystem, editing capabilities, symbol search, diagnostics, and terminal access as MCP tools. It runs locally on a configurable port, provides a status bar indicator for toggling the server, and implements security measures by binding only to localhost. The server is particularly valuable for developers who want AI models to help with coding tasks like exploring project structures, analyzing code, making targeted edits, and executing shell commands—all within their existing VS Code environment.",36,10,2025-04-28T19:23:53Z,https://github.com/juehang/vscode-mcp-server
JR East Train Delay,https://www.pulsemcp.com/servers/tinjyuu-jr-east-delay,tinjyuu,mcp-jr-east-delay,4.0,,"JR East Delay MCP Server provides real-time train delay information for Japan Railways East lines by scraping the official JR East website. Built with TypeScript and the Model Context Protocol SDK, it extracts delay status data using Cheerio for HTML parsing and exposes this information through a structured interface. The implementation is packaged as a command-line tool that can be easily integrated into AI assistant workflows, making it valuable for travelers, commuters, and transportation services that need up-to-date information about train operations in the Tokyo metropolitan area and surrounding regions.",4,0,2025-04-25T11:37:56Z,https://github.com/tinjyuu/mcp-jr-east-delay
Resource Hub,https://www.pulsemcp.com/servers/adamwattis-resource-hub,adamwattis,resource-hub-server,2.0,,"This Resource Hub MCP server, developed by Adam Wattis, acts as a proxy between local MCP environments and a centralized Resource Hub. It enables access to shared tools, configurations, and resources across different environments, streamlining MCP server management. Built with TypeScript and leveraging the Model Context Protocol SDK, it offers features like centralized configuration, environment variable-based authentication, and compatibility with Claude Desktop. The server includes debugging tools through the MCP Inspector and supports easy deployment via npx. By centralizing resource management, it facilitates consistent tool access and configuration sharing, making it particularly valuable for teams and organizations requiring standardized MCP setups across multiple environments or projects.",2,1,2025-01-22T01:51:56Z,https://github.com/adamwattis/resource-hub-server
Google Search Console,https://www.pulsemcp.com/servers/aminforou-gsc,aminforou,mcp-gsc,60.0,,"The MCP-GSC server provides Google Search Console integration for AI assistants, enabling access to website search performance data, indexing status, and sitemap management. Created by SEO consultant Amin Foroutan, it offers tools for retrieving search analytics, inspecting URLs, comparing time periods, and managing sitemaps through the Google Search Console API. The implementation includes authentication via service account credentials and features detailed reporting capabilities for SEO analysis. This server is particularly valuable for digital marketers and SEO professionals who need to analyze website search performance, troubleshoot indexing issues, and manage Google Search Console operations through conversational interfaces.",60,5,2025-04-08T20:14:51Z,https://github.com/aminforou/mcp-gsc
Perplexity Advanced,https://www.pulsemcp.com/servers/code-yeongyu-perplexity-advanced,code-yeongyu,perplexity-advanced-mcp,21.0,3289.0,"Perplexity Advanced MCP provides a flexible interface for AI assistants to interact with both Perplexity and OpenRouter APIs, supporting simple queries and complex file attachments. Built by YeonGyu Kim, it offers a command-line interface that accepts API keys for either service through a simple configuration schema, making it easy to switch between providers. The implementation is containerized with Docker for easy deployment and uses the uv package manager for dependency management. It's particularly valuable for workflows requiring advanced search capabilities or when working with document-based queries that need file context.",21,2,2025-03-10T08:27:48Z,https://github.com/code-yeongyu/perplexity-advanced-mcp
Apache Iceberg,https://www.pulsemcp.com/servers/ryft-iceberg,ryft-io,iceberg-mcp,34.0,3412.0,"Iceberg MCP is a server implementation that provides AI assistants with direct access to Apache Iceberg tables stored in AWS. The server exposes tools for exploring Iceberg catalogs, retrieving table schemas, examining table properties, and analyzing partition information. Built on top of PyIceberg with AWS Glue integration, it authenticates using AWS credentials from environment variables or profiles. This implementation is particularly useful for data engineers and analysts who need to explore and understand Iceberg table metadata without writing complex queries or code.",34,2,2025-04-14T15:41:33Z,https://github.com/ryft-io/iceberg-mcp
Azure DevOps,https://www.pulsemcp.com/servers/azure-devops-work-items,munishm,azure-devops-mcp-server,0.0,,"Azure DevOps Work Items MCP Server provides a programmatic interface for interacting with Azure DevOps work items, enabling AI assistants to retrieve, create, update, and analyze work items through a standardized set of resources and tools. Built using the FastMCP framework, it supports operations like fetching recent work items, creating tasks, updating work item details, and generating analysis prompts, making it valuable for project management and workflow automation.",0,1,2025-03-07T08:52:36Z,https://github.com/munishm/azure-devops-mcp-server
Kubernetes,https://www.pulsemcp.com/servers/taichi-ho-k8s-interactive,taichiho,k8s-interactive-mcp,3.0,,"This MCP server enables running Kubernetes commands and interpreting their output through a natural language interface. It integrates with the Kubernetes client library to execute kubectl operations and provides flexible command piping. The implementation includes automatic kubectl installation checks and support for custom kubeconfig paths. Developed as an open-source project, it aims to simplify Kubernetes cluster management for both novice and experienced users. The server is particularly useful for DevOps teams looking to streamline their Kubernetes workflows or integrate AI-assisted cluster management into their existing tools.",3,3,2024-12-19T08:08:06Z,https://github.com/taichiho/k8s-interactive-mcp
Git Summary,https://www.pulsemcp.com/servers/dictybase-git-summary,cybersiddhu,dcr-mcp,0.0,,"A lightweight MCP server for generating git commit message summaries using OpenAI. Built with the mcp-go framework, this tool enables developers to analyze repository commit histories by filtering commits by date range and author, then generating human-readable markdown summaries that highlight key changes and their business impact. The implementation focuses on providing a streamlined, developer-friendly approach to understanding project evolution through commit message analysis.",0,1,2025-03-25T15:18:01Z,https://github.com/cybersiddhu/dcr-mcp
Firefly,https://www.pulsemcp.com/servers/gofireflyio-firefly,gofireflyio,firefly-mcp,9.0,2771.0,"Firefly MCP Server provides a bridge to Firefly.ai's cloud infrastructure management platform, enabling AI assistants to query cloud resources and generate infrastructure as code. The implementation offers two specialized tools: an inventory tool for querying cloud assets across providers with filtering capabilities, and a codify tool that generates Terraform import commands for specific resources. Built with TypeScript using the Model Context Protocol SDK, it authenticates with Firefly's API using access and secret keys, making it valuable for DevOps teams who want to discover, analyze, and codify their cloud infrastructure through natural language interactions.",10,2,2025-04-29T14:51:21Z,https://github.com/gofireflyio/firefly-mcp
ComfyUI,https://www.pulsemcp.com/servers/jonpojonpo-comfy-ui,jonpojonpo,comfy-ui-mcp-server,3.0,,"This ComfyUI MCP server integrates the ComfyUI stable diffusion interface with AI assistants. It provides a streamlined API for generating images using ComfyUI's node-based workflow, abstracting away the complexities of the underlying system. The server enables AI to construct image generation pipelines, adjust parameters, and retrieve results programmatically. By connecting AI systems with ComfyUI's powerful image generation capabilities, this implementation allows for dynamic creation of visual content based on textual descriptions or other inputs. It is particularly useful for applications requiring on-demand image generation, such as content creation tools, design assistants, or any AI system that needs to produce custom visuals.",3,3,2025-01-02T18:26:57Z,https://github.com/jonpojonpo/comfy-ui-mcp-server
1Panel Deployment,https://www.pulsemcp.com/servers/ruibaby-1panel,ruibaby,1panel-mcp,30.0,,"1Panel MCP Server enables automated website deployment to 1Panel servers through a standardized protocol interface. Built by ruibaby, it creates static websites if they don't exist, uploads files from build directories, and provides detailed deployment statistics. The implementation uses Node.js with Express to expose deployment capabilities through the MCP standard, making it particularly useful for developers looking to streamline their website publishing workflow directly from AI-assisted environments like Cursor IDE.",30,3,2025-04-25T03:59:44Z,https://github.com/ruibaby/1panel-mcp
Alibaba Cloud Lindorm,https://www.pulsemcp.com/servers/aliyun-lindorm,aliyun,alibabacloud-lindorm-mcp-server,3.0,,"Lindorm MCP Server provides a bridge between AI assistants and Alibaba Cloud's Lindorm multi-model NoSQL database. Built in Python using FastMCP, it exposes tools for vector search operations and SQL query execution against Lindorm's wide-table engine. The server enables retrieval from knowledge bases using both full-text and vector search capabilities, allows exploration of index structures, and supports SQL operations with specialized error handling for inefficient queries. It requires configuration of Lindorm instance credentials and deployed text-embedding models, making it valuable for applications that need to leverage Lindorm's vector search capabilities for retrieval augmented generation or perform SQL operations on Lindorm data stores.",3,1,2025-04-21T10:04:17Z,https://github.com/aliyun/alibabacloud-lindorm-mcp-server
Enhanced PostgreSQL,https://www.pulsemcp.com/servers/garethcott-enhanced-postgres,garethcott,enhanced-postgres-mcp-server,6.0,,"Enhanced PostgreSQL MCP Server provides both read and write access to PostgreSQL databases, extending the original read-only implementation by Anthropic. Developed by Gareth Cottrell, it enables LLMs to not only query database schemas and execute read operations but also modify data through insert, update, and delete operations, as well as manage database schema objects like tables, functions, triggers, and indexes. The server implements proper transaction handling with COMMIT/ROLLBACK mechanisms and uses parameterized queries for data modification operations to prevent SQL injection, making it suitable for AI assistants that need to interact with PostgreSQL databases for both data analysis and database management tasks.",6,4,2025-03-18T12:45:37Z,https://github.com/garethcott/enhanced-postgres-mcp-server
Mixpanel,https://www.pulsemcp.com/servers/dragonkhoi-mixpanel,dragonkhoi,mixpanel-mcp,8.0,,"This MCP server implementation provides a bridge to the Mixpanel API, allowing users to query events data, retention, and funnels. Developed by Khoi Le, it uses TypeScript and Node.js to interface with Mixpanel's analytics platform. The server is designed for use cases requiring on-demand access to Mixpanel data, such as analyzing user cohorts, tracking event trends, or generating custom analytics reports.",8,4,2025-03-14T16:52:11Z,https://github.com/dragonkhoi/mixpanel-mcp
Filesystem Access,https://www.pulsemcp.com/servers/parthshr370-filesystem-access,parthshr370,mcp-servers,7.0,,"The Filesystem MCP Server provides AI assistants with direct access to local filesystem operations through a set of specialized tools. Built using the FastMCP framework, it implements two core functions: reading file contents and listing directory entries, both with comprehensive error handling. The server can run in either stdio or Server-Sent Events (SSE) transport modes, making it flexible for different deployment scenarios. The implementation includes a test suite to verify functionality and an example client that demonstrates interactive usage with Claude models. This server is particularly valuable for workflows requiring AI assistants to access and analyze local files without needing separate file management tools.",7,3,2025-04-26T11:34:17Z,https://github.com/parthshr370/mcp-servers
GraphQL,https://www.pulsemcp.com/servers/ctkadvisors-graphql,ctkadvisors,graphql-mcp,4.0,,"GraphQL MCP Server provides a bridge between Claude and any GraphQL API by dynamically generating MCP tools from a GraphQL schema. Built by CTK Advisors, it features automatic schema introspection, query execution with parameter validation, and optional mutation support with security controls. The server can be configured with environment variables to specify API endpoints, authentication tokens, and query whitelisting, making it ideal for accessing structured data from GraphQL APIs directly within Claude conversations without requiring manual query construction.",4,1,2025-03-17T19:53:01Z,https://github.com/ctkadvisors/graphql-mcp
Grasshopper 3D,https://www.pulsemcp.com/servers/veoery-grasshopper-3d,veoery,gh_mcp_server,7.0,,"Grasshopper MCP Server provides a bridge between Claude and Rhino/Grasshopper 3D modeling software, enabling parametric design and geometric analysis capabilities. Built by veoery, it supports both direct RhinoInside integration on Windows and cross-platform functionality through rhino3dm, allowing users to create, manipulate, and analyze 3D models through natural language prompts. The server includes tools for basic modeling operations, Grasshopper component manipulation, Python code generation, and file analysis, making it valuable for architects, designers, and engineers who want to leverage AI assistance in their 3D modeling workflows.",7,2,2025-04-04T20:05:27Z,https://github.com/veoery/gh_mcp_server
National Weather Service,https://www.pulsemcp.com/servers/national-weather-service,jackkuo666,weather-mcp-server,0.0,,"Weather MCP Server provides real-time weather information by integrating with the National Weather Service (NWS) API. Built with Python using the FastMCP framework, it offers two main tools: retrieving weather alerts for any US state and obtaining detailed forecasts for specific locations using latitude and longitude coordinates. The server includes robust error handling and logging capabilities, making it reliable for applications that need up-to-date weather data. It can be run standalone or integrated with Cline, offering a straightforward way to incorporate weather information into AI assistant workflows for travel planning, event scheduling, or safety monitoring.",0,0,2025-03-17T13:44:05Z,https://github.com/jackkuo666/weather-mcp-server
Nvidia Brev,https://www.pulsemcp.com/servers/brevdev-brev,brevdev,brev-mcp,3.0,,"This Brev MCP server implementation, developed by tmonty12, provides a bridge between the Model Context Protocol and Brev's cloud development platform. It enables AI assistants to interact with Brev resources and operations through natural language commands. Built with Python 3.10+ and leveraging the Brev CLI's authentication, it offers functionality for managing Brev workspaces, deployments, and other cloud resources. The implementation stands out by focusing specifically on Brev's ecosystem and tooling. It is particularly useful for developers and DevOps teams looking to streamline their Brev workflows, automate cloud resource management, or integrate AI-assisted operations into their existing Brev-based projects.",3,3,2024-12-09T02:45:48Z,https://github.com/brevdev/brev-mcp
Apache AGE Graph,https://www.pulsemcp.com/servers/rioriost-age-graph,rioriost,homebrew-age-mcp-server,1.0,23684.0,"Apache AGE MCP Server provides a bridge between Claude and PostgreSQL databases with Apache AGE graph extension, enabling graph database operations through Cypher queries. Developed by Rio Fujita, it offers tools for executing read queries, write operations, and retrieving schema information from AGE-enabled PostgreSQL databases. The server implements safety measures including query validation, parameter sanitization, and automatic query formatting with result limits. It's particularly useful for AI assistants that need to analyze graph relationships, perform graph traversals, or visualize connected data structures stored in PostgreSQL without requiring users to write complex SQL queries.",1,1,2025-05-01T07:40:51Z,https://github.com/rioriost/homebrew-age-mcp-server
macOS Defaults,https://www.pulsemcp.com/servers/g0t4-macos-defaults,g0t4,mcp-server-macos-defaults,11.0,7101.0,"This MCP server, developed by Wes Higbee, enables AI assistants to interact with macOS system preferences through the 'defaults' command. It provides tools for listing domains, finding settings, reading preference values, and writing new settings. The server implements subprocess calls to execute system commands, offering a straightforward interface for AI systems to query and modify macOS configurations. By connecting AI capabilities with low-level system operations, this implementation empowers AI assistants to perform tasks like customizing user interfaces, adjusting system behaviors, or troubleshooting macOS issues. It is particularly useful for applications requiring automated macOS configuration, user preference management, or any scenario where an AI system needs to interact with and reason about macOS system settings.",11,5,2024-11-30T01:54:01Z,https://github.com/g0t4/mcp-server-macos-defaults
Database Connector,https://www.pulsemcp.com/servers/database-connector,georgi-terziyski,database_mcp_server,1.0,,"Database MCP Server provides a unified interface for connecting to and interacting with multiple database systems (SQLite, PostgreSQL, MySQL/MariaDB, and SQL Server) through a consistent set of tools. It features connection management, query execution, schema manipulation, and transaction support across all supported database types. The implementation uses a modular architecture with database-specific connectors that abstract away differences between database systems, making it ideal for applications that need to work with multiple database types or for AI assistants that require database access capabilities without dealing with database-specific syntax and connection details.",1,1,2025-03-18T13:31:27Z,https://github.com/georgi-terziyski/database_mcp_server
Railway,https://www.pulsemcp.com/servers/jason-tan-railway,jason-tan-swe,railway-mcp,27.0,,"This MCP server implementation provides a bridge to Railway.app, enabling AI assistants to interact with Railway's platform services. Developed by Jason Tan, it utilizes TypeScript and integrates with the Model Context Protocol SDK. The server is designed for use cases requiring Railway.app integration, such as managing deployments, monitoring application performance, or automating DevOps workflows within the Railway ecosystem.",27,7,2025-03-12T22:24:51Z,https://github.com/jason-tan-swe/railway-mcp
MySQL SSE,https://www.pulsemcp.com/servers/mangooer-mysql-sse,mangooer,mysql-mcp-server-sse,11.0,,"MySQL MCP Server provides a lightweight server implementation for MySQL database operations using Server-Sent Events (SSE) transport. It offers a streamlined approach to database interactions, with configuration managed through environment variables and MySQL connection handling abstracted into modular Python components.",11,1,2025-04-08T03:40:25Z,https://github.com/mangooer/mysql-mcp-server-sse
Coding File Management,https://www.pulsemcp.com/servers/aindreyway-neurolora,aindreyway,mcp-neurolora,14.0,4545.0,"This MCP server, developed by aindreyway, streamlines the process of collecting and documenting code from directories. Built with TypeScript and leveraging the Model Context Protocol SDK, it offers a command-line interface for efficient code extraction and documentation generation. The server is designed for flexibility, supporting various file types and directory structures through customizable configuration options. It's particularly valuable for developers and teams working on large-scale projects, enabling use cases such as automated code documentation, project structure analysis, and codebase overview generation. The implementation's focus on TypeScript and modern JavaScript features ensures compatibility with current development practices while providing robust type checking and improved maintainability.",14,5,2024-12-21T10:40:29Z,https://github.com/aindreyway/mcp-neurolora
Qase,https://www.pulsemcp.com/servers/rikuson-qase,rikuson,mcp-qase,3.0,,"Qase MCP Server provides a TypeScript-based integration with the Qase test management platform, enabling AI assistants to interact with test-related entities like projects, cases, runs, results, plans, suites, and shared steps. Built with strong typing using Zod and leveraging the Qase API, it offers a comprehensive set of tools for programmatically managing and querying test management data through a standardized MCP interface.",3,3,2025-03-15T23:30:56Z,https://github.com/rikuson/mcp-qase
Discord,https://www.pulsemcp.com/servers/v-3-discord,v-3,discordmcp,68.0,,"This Discord MCP server, developed as an open-source project, enables AI assistants to interact directly with Discord channels through the Discord API. Built with TypeScript and leveraging the Model Context Protocol SDK, it provides tools for sending messages, reading recent channel history, and automatic server/channel discovery. The implementation focuses on maintaining user control and security while allowing AI models to engage in Discord conversations. It's particularly useful for enhancing AI-driven community management, automated support, or interactive chatbots within Discord servers, enabling seamless integration of AI capabilities without requiring deep knowledge of Discord's API intricacies.",69,22,2025-01-21T06:21:56Z,https://github.com/v-3/discordmcp
Terrakube,https://www.pulsemcp.com/servers/terrakube,azbuilder,mcp-server-terrakube,1.0,,"Terrakube MCP Server provides a bridge between AI assistants and Terrakube infrastructure management, enabling workspace management, variable handling, module operations, and organization administration through a standardized interface. Built with TypeScript and the MCP protocol, it features robust error handling, environment-based configuration, and a modular design that makes it easy to extend. The implementation is particularly valuable for DevOps teams who need to manage Terrakube resources and infrastructure as code directly through conversational AI without context switching.",1,1,2025-04-05T00:28:01Z,https://github.com/azbuilder/mcp-server-terrakube
Easy Model Deployer,https://www.pulsemcp.com/servers/yanbasic-emd,yanbasic,emd-mcp,1.0,,"EMD-MCP server provides a bridge between Claude and the Easy Model Deployer (EMD) tool, enabling AI assistants to deploy, manage, and interact with machine learning models on AWS services. Built with TypeScript and the Model Context Protocol SDK, it offers tools for listing supported models, deploying models with customizable parameters, checking deployment status, invoking deployed models, and destroying deployments. The server automatically installs EMD if needed and handles command execution through child processes, making it valuable for users who want to streamline ML model deployment workflows directly through conversational AI interfaces.",1,0,2025-03-21T15:36:32Z,https://github.com/yanbasic/emd-mcp
