owner,repo,github_stars,download_count,experimental_ai_generated_description,risk_category,adjusted_risk_score,popularity_score,doc_quality_score,doc_quality_adjustment,readme_found,has_installation_docs,has_usage_docs,has_api_reference,has_security_docs,has_error_handling,has_cli_docs,has_code_examples,has_screenshots,has_license_info,readme_size_bytes,headings_count,code_blocks_count,readability_score,missing_sections,oauth_implementation,direct_api_tokens,main_risk_factors,outbound_connections
kagisearch,kagimcp,72,0,"This Kagi MCP server, developed by Rehan Ali Rana at Kagi Search, integrates the Kagi API into AI-assisted workflows. Built with Python and leveraging libraries like httpx and pydantic, it provides a standardized interface for accessing Kagi's search capabilities through Claude Desktop and compatible MCP clients. The implementation supports Kagi's advanced search features and is designed for easy setup and use. It's particularly useful for researchers, developers, and professionals looking to incorporate high-quality, privacy-focused search results into their AI-assisted applications, enabling more informed decision-making and analysis based on up-to-date web information.",MINIMAL,0.71,1.0,6.9,-2.07,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4047,24,11,3.5,usage,No,Yes,,
termix-official,bsc-mcp,72,0,"BSC MCP Server provides a robust blockchain interaction layer for the Binance Smart Chain, enabling AI-driven transactions including native BNB and BEP-20 token transfers, smart contract interactions, and meme token creation. Built with Viem and PancakeSwap SDK, it offers secure wallet management and standardized blockchain operations through a flexible, environment-variable-configured architecture. The server is particularly useful for developers and traders seeking programmatic, AI-assisted blockchain interactions with minimal low-level complexity.",MINIMAL,0.8,1.0,6.6,-1.98,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3387,16,6,5.0,usage; error_handling,No,No,,
djyde,browser-mcp,71,343,"Browser MCP is a browser extension and server implementation that allows AI assistants to interact with the browser environment. It provides tools for retrieving page content as markdown, appending CSS styles to pages, searching browser history, and more. The implementation uses a WebSocket connection between the extension and server to enable real-time communication, with the server exposing these capabilities through the Model Context Protocol. This enables AI assistants to perform tasks like summarizing web pages, modifying page appearance, or retrieving browsing history data directly from the user's browser.",MINIMAL,0.84,1.0,5.2,-1.56,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,1671,18,7,3.5,installation; configuration; error_handling,No,No,,
mikeyny,ai-image-gen-mcp,71,0,"This MCP server, developed by an unspecified author, enables image generation using Replicate's flux-schnell model. Built with TypeScript and leveraging the Model Context Protocol SDK, it offers configurable image parameters such as resolution, aspect ratio, and quality. The implementation focuses on providing a standardized interface for text-to-image generation, including features like saving generated images to specified directories and full error handling. It's particularly useful for applications requiring on-demand image creation, enabling use cases such as content illustration, design prototyping, and AI-assisted art generation without complex API integrations or local model deployments.",MINIMAL,0.71,1.0,6.9,-2.07,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3478,10,6,5.0,,No,Yes,,
carterlasalle,mac_messages_mcp,70,8517,"Mac Messages MCP provides a bridge for AI assistants to interact with the macOS Messages app, enabling reading recent messages and sending new ones through a set of well-defined tools. Developed by Carter Lasalle, it accesses the Messages database and AddressBook contacts directly, with features for contact lookup, fuzzy name matching, and group chat support. The implementation includes robust error handling for permission issues and runs as an MCP server that integrates with Claude Desktop, making it particularly valuable for users who want to manage their iMessage conversations without leaving their AI assistant interface.",MINIMAL,1.12,1.4,7.5,-2.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3348,24,8,5.0,,No,Yes,,
cheffromspace,mcpcontrol,70,0,"This Windows control server leverages nut.js and the Model Context Protocol to enable remote automation of Windows systems. Developed by an unnamed author, it provides a TypeScript-based interface for programmatically controlling mouse movements, keyboard input, and screen captures on Windows machines. The implementation uses Express for the server, Jimp and Sharp for image processing, and Clipboardy for clipboard access. It's designed for scenarios requiring remote Windows automation, such as automated testing, remote administration, or building AI-assisted Windows control systems that can interact with desktop applications via natural language commands.",MINIMAL,0.98,1.0,7.4,-2.22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5296,14,2,5.0,,Yes,No,Found pattern: send.*data; Potential data exfiltration: send.*data,
tumf,mcp-shell-server,70,23653,"This MCP shell server, developed by tumf, enables AI assistants like Claude to execute whitelisted shell commands on the host system. Built in Python, it provides a secure interface for running commands with stdin input support, returning comprehensive execution results including stdout, stderr, exit status, and runtime. The implementation focuses on security through command whitelisting and shell operator validation, preventing unauthorized access while allowing flexible command execution. By connecting AI capabilities with local system operations, this server enables AI assistants to interact with files, analyze data, and perform system tasks. It is particularly useful for scenarios requiring controlled system access, data processing, and building AI tools that can leverage local computing resources and file systems.",MINIMAL,1.37,1.6,7.6,-2.28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4979,25,13,5.0,,No,No,,
chatmol,molecule-mcp,69,0,"The molecule-mcp server provides a bridge between AI assistants and molecular visualization software, enabling interaction with PyMol and ChimeraX through the Model Context Protocol. It offers tools to open visualization software, execute commands directly in these applications, and save images of molecular structures. The implementation uses FastMCP to expose these capabilities as tools that can be called programmatically, making it valuable for scientific workflows where molecular visualization and manipulation are needed without leaving the conversation interface.",MINIMAL,0.66,1.0,5.2,-1.56,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,2395,3,3,5.0,usage; error_handling; project_info,No,Yes,,
inditextech,mcp-server-simulator-ios-idb,69,0,"A Model Context Protocol server for iOS simulator automation via Facebook's IDB tool, enabling AI assistants to control iOS simulators using natural language commands. Developed by Inditex Tech, this TypeScript implementation provides a comprehensive command system for managing simulator sessions, launching apps, capturing screenshots, and performing UI interactions. The architecture includes a natural language parser that converts instructions into structured commands, an orchestrator that manages command execution, and an IDB manager that interfaces with the iOS simulator. This server is particularly useful for automated testing of iOS applications, UI validation, and creating interactive demos without requiring direct access to physical devices.",MINIMAL,0.77,1.0,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12022,33,9,5.0,,No,No,,
comet-ml,opik-mcp,69,0,"Opik MCP Server is an open-source implementation of the Model Context Protocol for the Opik platform. It provides a unified interface for interacting with Opik's capabilities, supporting multiple transport mechanisms for flexible integration into various environments.",MINIMAL,0.23,1.0,7.6,-2.28,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,6221,31,9,5.0,error_handling,No,Yes,Obfuscated code: atob\s*\(,https://registry.npmjs.org/@babel/template/-/template-7.26.9.tgz; https://opencollective.com/unts; https://registry.npmjs.org/glob-parent/-/glob-parent-6.0.2.tgz; https://registry.npmjs.org/optionator/-/optionator-0.9.4.tgz; https://registry.npmjs.org/jest-leak-detector/-/jest-leak-detector-29.7.0.tgz
mastergo-design,mastergo-magic-mcp,68,16312,"MasterGo Magic MCP is a standalone service that enables AI models to directly retrieve DSL (Domain Specific Language) data from MasterGo design files. Developed as a lightweight Node.js tool, it provides a simple mechanism for extracting design file metadata using a personal access token, with a focus on enabling programmatic access to design element details. The implementation is particularly useful for AI-powered design analysis, code generation, and design system exploration.",MINIMAL,1.32,1.6,7.2,-2.16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3474,15,5,5.0,,No,Yes,,https://example.com/ant/button.mdx
sendaifun,solana-mcp,68,1326,"A Solana blockchain MCP server powered by the Solana Agent Kit, enabling programmatic interactions with Solana through a standardized protocol. Supports a wide range of blockchain actions including asset retrieval, token deployment, wallet management, transfers, NFT minting, and domain resolution. Designed to provide a flexible, developer-friendly interface for Solana-based operations.",MINIMAL,0.93,1.2,7.7,-2.31,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5692,22,9,5.0,,No,Yes,,
cohnen,mcp-google-ads,67,0,"This MCP server implementation provides integration with Google Ads API, enabling AI assistants to access and manipulate advertising campaign data directly within conversations. The server appears to have encountered an error during setup, indicating it may be in development or experiencing configuration issues with the repository 'cohnen/mcp-google-ads'. When functioning properly, it would likely allow for campaign management, performance analysis, and optimization of Google Ads accounts without leaving the conversation interface.",MINIMAL,0.27,1.0,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,26747,44,23,5.0,,Yes,No,,https://www.googleapis.com/auth/adwords; https://googleads.googleapis.com/{API_VERSION; https://accounts.google.com/o/oauth2/auth; https://oauth2.googleapis.com/token
lucashild,mcp-server-bigquery,67,25052,"This BigQuery MCP server, developed by LucasHild, provides a streamlined interface for language models to interact with Google BigQuery databases. It enables AI agents to inspect database schemas, list tables, and execute SQL queries using the BigQuery dialect. The server is configurable with project ID, location, and optional dataset filtering. By leveraging BigQuery's powerful data warehousing capabilities, it allows AI systems to analyze large datasets efficiently. This implementation is particularly useful for AI assistants designed to perform data analysis tasks, generate insights from business intelligence data, or automate reporting processes using BigQuery as the backend data source.",MINIMAL,0.93,1.6,5.8,-1.74,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,3337,13,7,5.0,usage; api_reference; project_info,Yes,No,,
gongrzhe,office-powerpoint-mcp-server,67,3333,"PowerPoint MCP server that enables AI assistants to create and manipulate PowerPoint presentations through python-pptx. Built by GongRzhe, it provides tools for adding and formatting slides, text, images, tables, charts and shapes with robust error handling and parameter validation. The implementation focuses on reliability with multiple fallback approaches for operations like image insertion and shape creation, making it particularly valuable for users who need to programmatically generate or modify presentations through natural language requests.",MINIMAL,1.01,1.2,6.4,-1.92,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,6719,35,10,3.5,error_handling,No,No,,
cyanheads,obsidian-mcp-server,66,4656,"This Obsidian MCP server, developed by cyanheads, enables AI models to interact with Obsidian vaults through a standardized interface. Built with TypeScript and leveraging the Model Context Protocol SDK, it provides tools for file operations, content search, and metadata management within Obsidian. The implementation features atomic operations, efficient query processing, and automatic timestamp handling. It's particularly useful for AI assistants and applications needing to manage knowledge bases in Obsidian, enabling use cases like note-taking, content organization, and information retrieval without dealing directly with Obsidian's API complexities.",MINIMAL,0.93,1.2,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7963,24,10,5.0,,No,Yes,,
dannymac180,mcp-think-tool,66,3736,"The MCP Think Tool Server implements Anthropic's 'think' tool for Claude and other LLMs, providing a dedicated space for structured reasoning during complex problem-solving tasks. It maintains a timestamped log of thoughts that can be reviewed, cleared, or analyzed for statistics, enabling models to break down problems systematically, ensure policy adherence, and process complex tool outputs. Built using FastMCP, the server exposes four tools: think for recording thoughts, get_thoughts for retrieving the thinking history, clear_thoughts for resetting, and get_thought_stats for analyzing thinking patterns - making it particularly valuable for improving performance in tasks requiring long chains of reasoning.",MINIMAL,1.06,1.2,4.6,-1.38,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,1862,7,4,3.5,usage; api_reference; error_handling; license,No,No,,
v-3,discordmcp,66,0,"This Discord MCP server, developed as an open-source project, enables AI assistants to interact directly with Discord channels through the Discord API. Built with TypeScript and leveraging the Model Context Protocol SDK, it provides tools for sending messages, reading recent channel history, and automatic server/channel discovery. The implementation focuses on maintaining user control and security while allowing AI models to engage in Discord conversations. It's particularly useful for enhancing AI-driven community management, automated support, or interactive chatbots within Discord servers, enabling seamless integration of AI capabilities without requiring deep knowledge of Discord's API intricacies.",MINIMAL,0.77,1.0,7.6,-2.28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4007,15,10,5.0,,No,No,,
baryhuang,mcp-remote-macos-use,65,0,"MCP Remote macOS Server provides secure remote control of macOS machines through VNC protocol, enabling AI assistants to capture screenshots and interact with the remote desktop through mouse and keyboard inputs. The implementation supports Apple Authentication (protocol 30) for secure connections, handles screen scaling for consistent display, and includes comprehensive error handling for connection issues. Built with a focus on security and reliability, this server is ideal for remote administration, automated testing, or AI-powered interaction with macOS systems.",MINIMAL,0.77,1.0,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9594,31,6,5.0,,Yes,Yes,,
govcraft,rust-docs-mcp-server,65,0,"Rust documentation loader for the Model Context Protocol that efficiently processes HTML documentation files from Rust crates. Uses LlamaIndex's HTML reader to load and parse documentation, with intelligent file selection logic that handles duplicate files by selecting the largest version. Supports an optional 'dangerous' mode to include all HTML files, making it flexible for different documentation processing scenarios.",MINIMAL,0.78,1.0,7.3,-2.19,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,13933,21,7,5.0,error_handling,No,No,,
langfuse,mcp-server-langfuse,65,0,"This MCP server implementation provides access to Langfuse's prompt management capabilities, allowing users to list and retrieve prompts through the Model Context Protocol. Developed by marcklingen, it transforms Langfuse prompts into MCP-compatible formats, supports pagination for prompt listing, and includes a prompt compilation feature. The server also offers tool-based operations for increased compatibility with MCP clients. It's particularly useful for AI applications requiring dynamic prompt management, version control, and integration with existing Langfuse workflows. The implementation focuses on production-labeled prompts and is designed to work seamlessly with Claude Desktop and Cursor environments.",MINIMAL,0.78,1.0,7.4,-2.22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3354,14,4,5.0,,No,No,,
nguyenvanduocit,all-in-one-model-context-protocol,65,0,"This MCP server, developed by nguyenvanduocit, enables AI assistants like Claude to interact with a wide range of development tools and services. Built in Go, it provides capabilities for searching Confluence, querying GitLab repositories, fetching Jira issues, executing command-line scripts, and more. The implementation stands out by offering a unified interface to multiple essential development platforms and APIs. By connecting AI capabilities with core development workflows and knowledge bases, this server allows AI systems to access documentation, analyze code, track issues, and assist with various development tasks. It is particularly useful for enhancing AI-powered developer tools, automating software development workflows, and building intelligent assistants that can seamlessly integrate with existing development infrastructure.",MINIMAL,0.78,1.0,7.3,-2.19,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,20537,65,4,3.5,error_handling,No,No,,
peakmojo,applescript-mcp,65,524,"AppleScript MCP Server provides a dual-implementation (Node.js and Python) bridge that enables AI assistants to execute AppleScript code on macOS systems. Developed by peakmojo, this lightweight server (<100 lines of core code) allows interaction with Mac applications and system features including Notes, Calendar, Contacts, Messages, Finder, and more. The implementation handles script execution through temporary files and subprocess calls, with configurable timeouts and comprehensive error handling. It's particularly valuable for automating Mac-specific tasks like creating reminders, searching files, checking system status, or controlling applications through natural language requests.",MINIMAL,0.35,1.0,5.1,-1.53,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,2307,7,17,5.0,configuration; api_reference; error_handling,Yes,No,,
philliprt,think-mcp-server,65,0,"Think Tool MCP Server implements Anthropic's 'think' tool as described in their engineering blog, providing Claude with a dedicated space for structured reasoning during complex problem-solving tasks. This TypeScript implementation creates a simple MCP server that allows Claude to pause and reflect during response generation, without performing external actions or retrieving new information. Research shows this approach improves performance by up to 54% on complex tasks, especially when working with multiple tools or following detailed policies, making it particularly valuable for customer service, legal compliance, sequential decision-making, and coding challenges.",MINIMAL,0.78,1.0,7.3,-2.19,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6732,15,8,5.0,project_info,No,No,,
quantgeekdev,coincap-mcp,65,7015,"This MCP server, developed by QuantGeekDev, provides access to cryptocurrency data from the CoinCap API without requiring API keys or registration. It exposes tools for querying Bitcoin prices, retrieving prices for any supported cryptocurrency, and listing all available crypto assets. By integrating with CoinCap's public API, this implementation enables AI assistants to easily incorporate up-to-date cryptocurrency information into their responses. It is particularly useful for financial analysis, market tracking, and generating reports on crypto trends through natural language queries to an AI assistant.",MINIMAL,1.21,1.4,6.2,-1.86,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1989,13,6,5.0,error_handling; project_info,No,No,,
tanigami,mcp-server-perplexity,65,14151,"This MCP server, developed by tanigami, provides seamless integration with the Perplexity API for AI assistants. Built for use with Claude Desktop, it offers a tool for requesting chat completions with citations from Perplexity. The server bridges Claude's capabilities with Perplexity's advanced language models and real-time information retrieval, enabling more up-to-date and factual responses. Key features include citation support and easy configuration through Claude Desktop settings. By leveraging Perplexity's strengths in current events and factual queries, this implementation enhances AI capabilities for tasks requiring recent information or verified sources. It is particularly useful for scenarios like research assistance, fact-checking, or generating responses with reliable citations.",MINIMAL,1.27,1.6,5.7,-1.71,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,1184,6,1,5.0,usage,No,Yes,,
vinayak-mehta,mcp-browser-use,65,16204,"The MCP Browser-Use server connects any MCP client (like Claude or Cursor) with the browser-use library, allowing AI assistants to interact with web browsers. Unlike other browser-use MCPs that require purchasing a separate LLM API key, this implementation by Vinayak Mehta leverages the LLM already configured in your MCP client. It enables web browsing capabilities through a simple command (uvx mcp-browser-use) that can be added to MCP client configurations, making it ideal for users who want to give their AI assistants web access without additional API costs.",MINIMAL,1.44,1.6,5.4,-1.62,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1426,5,1,3.5,error_handling,No,No,,
rootly-ai-labs,rootly-mcp-server,64,5363,"Rootly MCP Server provides a dynamic interface to the Rootly API for incident management directly within MCP-compatible editors like Cursor, Windsurf, and Claude. Developed by Rootly AI Labs, it transforms Rootly's OpenAPI specification into MCP tools that enable users to resolve production incidents without leaving their IDE. The server intelligently limits exposed API paths to prevent AI agent overwhelm, focusing on core incident management endpoints with default pagination to prevent context window overflow. This implementation is particularly valuable for SRE teams and developers who need to quickly respond to and manage production incidents while staying in their development environment.",HIGH,-2.48,1.4,7.2,-2.16,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3127,6,3,5.0,error_handling,No,Yes,Found pattern: send.*data; Found pattern: tracking; Found pattern: collect.*data; Potential data exfiltration: send.*data; Potential data exfiltration: log.*queries,https://api.rootly.com/v1/alert_events/%7Bid%7D\; https://api.rootly.com/v1/alert_urgencies/%7Bid%7D; https://api.rootly.com/v1/form_set_conditions/%7Bid%7D\; https://api.rootly.com/v1/escalation_paths/%7Bescalation_policy_path_id%7D/escalation_levels; https://api.rootly.com/v1/incidents/%7Bincident_id%7D/status-page-events?include=SOME_STRING_VALUE&page%5Bnumber%5D=SOME_INTEGER_VALUE&page%5Bsize%5D=SOME_INTEGER_VALUE
roychri,mcp-server-asana,64,7442,"This Asana MCP server, developed by Christian Roy, enables AI assistants to interact with the Asana project management platform. It provides a comprehensive set of tools for managing workspaces, projects, tasks, comments, and dependencies through the Asana API. The implementation abstracts Asana's functionality, offering a standardized interface for AI systems to perform project management operations. By connecting AI assistants with Asana, this server facilitates task automation, project tracking, and team collaboration. It is particularly useful for AI applications requiring seamless integration with Asana, such as automated project updates, task prioritization, or intelligent workload management across teams and projects.",MINIMAL,0.68,1.4,7.4,-2.22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15724,10,3,3.5,,Yes,No,,
lsd-so,lsd-mcp,63,0,"This MCP server, developed by LSD.so, enables Claude to directly query and analyze web content using LSD SQL, a domain-specific language for web scraping. Built with Python and leveraging cloud browsers, it allows Claude to write and execute LSD SQL queries to extract structured data from websites. The implementation focuses on providing a flexible interface for web data extraction, including features like parallel processing and just-in-time table creation. It's particularly useful for applications requiring real-time web data analysis, enabling use cases such as market research, competitor analysis, and content aggregation without complex web scraping setups or API integrations.",MINIMAL,0.73,1.0,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8269,16,9,5.0,,No,Yes,,
tacticlaunch,mcp-linear,63,4193,"MCP Linear is a server implementation that bridges AI assistants with the Linear project management system, enabling natural language interaction with Linear's GraphQL API. Developed by tacticlaunch, it provides tools for managing issues, projects, teams, cycles, and users through a standardized interface. The server authenticates with Linear using an API token and translates assistant requests into appropriate API calls, handling everything from creating and updating issues to managing project workflows and team assignments. Particularly valuable for teams who want to integrate project management tasks directly into their AI assistant workflows without context switching.",MINIMAL,0.9,1.2,6.8,-2.04,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4176,16,6,5.0,error_handling,No,Yes,,
donghao1393,mcp-dbutils,62,67219,"MCP Database Utilities is a unified database access service that supports multiple database types (PostgreSQL, SQLite, and MySQL). Through its abstraction layer design, it provides a simple and unified database operation interface for MCP servers.",MINIMAL,1.58,1.8,6.0,-1.8,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,4327,15,0,3.5,error_handling,No,No,Found pattern: fetch\s*\(,https://sonarcloud.io/project/issues?id=${projectKey; https://sonarcloud.io/api/ce/task?id=${ceTaskId; https://sonarcloud.io/dashboard?id=${projectKey; https://sonarcloud.io/api/issues/search?componentKeys=${projectKey; https://sonarcloud.io/api/measures/component?component=${projectKey
fengin,search-server,62,0,"Search-Server provides a unified interface for AI assistants to access multiple search engines through a standardized API. The implementation integrates with Brave Search, Metaso, and Bocha search services, handling authentication, rate limiting, and response formatting for each provider. Built with Python and modern async libraries like httpx, aiohttp, and Playwright, it abstracts away the complexity of different search APIs while maintaining provider-specific features. This server is particularly valuable for developers who need to incorporate web search capabilities into AI applications without managing multiple search engine integrations separately.",MINIMAL,0.69,1.0,6.4,-1.92,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6818,31,10,3.5,project_info,No,Yes,,
jdubois,azure-cli-mcp,62,0,"Azure CLI MCP is a server implementation that wraps the Azure CLI, enabling AI assistants to execute Azure commands through a standardized interface. Developed by Julien Dubois, it uses Spring Boot and Spring AI to expose Azure CLI functionality via the stdio transport, allowing users to manage Azure resources directly from tools like Claude Desktop or VS Code. The server runs locally using the user's Azure credentials and includes a carefully crafted prompt that improves how LLMs interact with Azure, making it particularly effective for listing resources, fixing configuration issues, and creating new Azure services.",MINIMAL,0.79,1.0,7.0,-2.1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,8053,15,5,5.0,error_handling,No,No,,
secretiveshell,mcp-searxng,62,8401,"This MCP server, developed by SecretiveShell, enables AI assistants like Claude to perform web searches using the SearXNG metasearch engine. Built in Python, it provides a simple interface for querying SearXNG and retrieving search results. The implementation stands out by leveraging SearXNG's privacy-focused approach and ability to aggregate results from multiple search engines. By connecting AI capabilities with a customizable search backend, this server allows AI systems to access up-to-date web information while maintaining user privacy. It is particularly useful for enhancing AI assistants with real-time web search capabilities, conducting research tasks, or building applications that require privacy-preserving internet queries.",MINIMAL,1.28,1.4,4.1,-1.23,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,1513,7,3,3.5,installation; api_reference; error_handling; license; project_info,No,No,,
isaacwasserman,mcp-snowflake-server,61,0,"This MCP server, developed by Isaac Wasserman, enables AI assistants like Claude to interact with Snowflake databases. Built in Python, it provides capabilities for executing SQL queries, managing database schema, and maintaining a dynamic insights memo. The implementation stands out by offering a standardized interface to Snowflake's powerful data warehousing capabilities, allowing AI systems to analyze and manipulate large-scale datasets. By connecting AI capabilities with enterprise data infrastructure, this server enables AI assistants to perform complex data analysis, generate insights, and interact with business intelligence workflows. It is particularly useful for data exploration tasks, automated reporting, and building AI-powered analytics tools that can leverage the full power of Snowflake's cloud data platform.",MINIMAL,0.78,1.0,7.3,-2.19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5420,16,6,5.0,,No,No,,
sammcj,mcp-package-docs,61,7780,"This MCP server, developed by Sam McLeod, provides efficient access to package documentation across multiple programming languages. Built with TypeScript and Node.js, it supports Go packages via 'go doc', Python libraries using built-in 'help()', and NPM packages through registry documentation. The server implements smart parsing to deliver structured output with descriptions, usage, and examples, while maintaining a minimal memory footprint through built-in caching. By offering a standardized interface for package documentation retrieval, it enables AI models to quickly access and utilize up-to-date library information. This implementation is particularly useful for developers and AI assistants working on multi-language projects, code analysis tasks, and automated documentation generation.",MINIMAL,1.17,1.4,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8823,24,15,5.0,,No,No,,https://pkg.go.dev/api/packages/${encodeURIComponent(packageName; https://raw.githubusercontent.com/${repoPath; https://pypi.org/pypi/${packageName; https://raw.githubusercontent.com/${owner; https://unpkg.com/@types/${packageName
silenceper,mcp-k8s,61,0,"mcp-k8s is a Kubernetes MCP server that enables AI assistants to interact with Kubernetes clusters through natural language. Built in Go using the mcp-go SDK and Kubernetes client-go library, it provides tools for querying resource types and performing CRUD operations on Kubernetes resources with configurable write permissions. The server connects to clusters using kubeconfig and supports both read-only and write operations (create/update/delete) that can be independently enabled or disabled for security. Particularly valuable for interactive resource management, automated operations, development support, and educational scenarios where users benefit from natural language interaction with Kubernetes environments.",MINIMAL,0.77,1.0,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9616,35,6,5.0,,No,No,,
tencentedgeone,edgeone-pages-mcp,61,11429,"EdgeOne Pages MCP server enables rapid deployment of HTML content to Tencent's EdgeOne Pages service. The server integrates with EdgeOne Pages Functions and KV store to host static content at the edge, providing a simple interface for deploying HTML and obtaining publicly accessible URLs. Built for developers who need quick content publishing capabilities through AI assistants, it handles API errors gracefully and returns immediate access to deployed content.",MINIMAL,1.42,1.6,5.9,-1.77,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2642,9,2,5.0,installation,No,No,,
xing5,mcp-google-sheets,61,9343,"This MCP server integrates with Google Drive and Google Sheets, enabling AI assistants to create, read, update, and manage spreadsheets. Built by Xing Wu, it provides tools for retrieving sheet data, updating cells, adding rows and columns, creating new spreadsheets, and listing available documents. The implementation supports both OAuth and service account authentication methods, making it suitable for personal assistants that need to interact with spreadsheet data or automate document workflows without requiring users to switch contexts.",MINIMAL,0.67,1.4,7.6,-2.28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,18301,18,13,3.5,,Yes,No,,
baranwang,mcp-trends-hub,60,3793,"MCP Trends Hub provides AI assistants with access to trending topics and content from popular Chinese platforms including Weibo, Zhihu, Douyin, Bilibili, Douban, Toutiao, and 36kr. The implementation exposes each platform as a separate tool that fetches current trending data, with results cached temporarily to improve performance. Built with TypeScript and using the Model Context Protocol SDK, it features robust error handling and standardized response formatting. This server is particularly valuable for use cases requiring real-time insights into Chinese social media trends, content discovery, and cultural monitoring without leaving the conversation interface.",MINIMAL,1.02,1.2,5.9,-1.77,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,3944,13,5,5.0,configuration; error_handling,No,No,,https://post.smzdm.com/rank/json_more; https://sspai.com/api/v1/article/tag/page/get; https://gateway.36kr.com/api/mis/nav/home/nav/rank/${type; https://api.bilibili.com/x/web-interface/ranking/v2?rid=${type; https://weread.qq.com/web/bookDetail/${wereadID
dfkai,xtquantai,60,0,"A lightweight MCP server for quantitative trading using the XTQuant API, enabling AI-driven financial analysis and trading strategies. Developed by davidfnck, this tool provides a Python-based integration for programmatic stock market interactions, with a focus on leveraging AI capabilities for quantitative investment approaches.",MINIMAL,0.85,1.0,5.0,-1.5,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,3244,30,12,5.0,usage; configuration; api_reference; error_handling,No,No,,http://localhost:{port
f4ww4z,mcp-mysql-server,60,15455,"This MCP MySQL server, developed by f4ww4z, enables AI assistants like Claude to interact with MySQL databases through a standardized interface. Built in JavaScript/TypeScript, it provides capabilities for executing queries, managing database connections, and retrieving schema information. The implementation stands out by offering prepared statement support, automatic connection management, and comprehensive error handling. By connecting AI capabilities with relational database operations, this server allows AI systems to query and manipulate data in MySQL databases programmatically. It is particularly useful for building AI-powered data analysis tools, automated reporting systems, and intelligent assistants that need to interact with MySQL-based applications and data stores.",MINIMAL,1.38,1.6,7.2,-2.16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3442,16,9,5.0,,No,No,,
