server_name,server_url,server_github_url,owner,repo,github_stars,download_count,experimental_ai_generated_description
macOS System Services (iMCP),https://www.pulsemcp.com/servers/loopwork-macos-system-services,https://github.com/loopwork-ai/imcp,loopwork-ai,imcp,439,,"iMCP is a macOS menu bar application that enables AI assistants to access system services including Calendar, Contacts, Messages, Reminders, Location, and Weather. Developed by Loopwork, it creates a secure bridge between Claude Desktop and macOS native APIs through a Bonjour-advertised TCP server that requires explicit user permission for each connection. The app features a simple toggle interface for enabling specific services and includes integration with Claude Desktop for easy configuration. It's particularly useful for AI assistants that need to perform tasks like checking schedules, finding contacts, sending reminders, or getting weather information without requiring users to manually copy information."
MySQL,https://www.pulsemcp.com/servers/designcomputer-mysql-mcp-server,https://github.com/designcomputer/mysql_mcp_server,designcomputer,mysql_mcp_server,434,448385.0,"This MySQL MCP server, developed by designcomputer, provides a secure interface for language models to interact with MySQL databases. It enables AI agents to list tables, read data, and execute SQL queries through a controlled interface. The server integrates with Claude Desktop and can be run standalone, offering flexibility in deployment. By focusing on read-only access and using environment variables for configuration, it maintains data security while allowing AI systems to explore and analyze relational data. This implementation is particularly useful for AI assistants designed to perform database schema exploration, generate SQL queries, or provide data-driven insights using MySQL as the backend."
Unity,https://www.pulsemcp.com/servers/arodoid-unity,https://github.com/arodoid/unitymcp,arodoid,unitymcp,427,,"UnityMCP, developed by an unnamed author, is a Unity Editor plugin and server implementation that enables AI assistants to interact with Unity projects in real-time. Built with C# and TypeScript, it offers tools for retrieving editor state, executing C# commands, and accessing logs. The implementation focuses on providing a standardized interface for AI models to manipulate Unity scenes, objects, and project settings. It's particularly useful for tasks like automated level design, asset management, or debugging assistance, allowing AI to directly influence Unity projects without requiring deep knowledge of the Unity API or editor interface."
Mobile Device Control,https://www.pulsemcp.com/servers/mobile-next-mobile-device-control,https://github.com/mobile-next/mobile-mcp,mobile-next,mobile-mcp,426,4721.0,"Mobile MCP Server provides tools for controlling and interacting with mobile devices through the Model Context Protocol. Built with TypeScript, it offers functionality for both Android and iOS platforms, enabling AI assistants to take screenshots, list installed apps, launch applications, click on screen elements, type text, and navigate through device interfaces. The server implements various device-specific commands through native toolchains (adb for Android and xcrun for iOS simulators), making it particularly valuable for automated mobile app testing, UI navigation, and demonstration scenarios where direct device control is needed."
IDA Pro,https://www.pulsemcp.com/servers/mx-iris-ida-pro,https://github.com/mxiris-reverse-engineering/ida-mcp-server,mxiris-reverse-engineering,ida-mcp-server,420,4906.0,"A Model Context Protocol server for programmatically reading and searching IDA databases via Large Language Models. Developed by Mx-Iris, this early-stage project aims to provide tools for reverse engineering and binary analysis automation, with a focus on enabling LLM interaction with IDA Pro's database. The server is currently under active development and will eventually support a more streamlined workflow for analyzing binary files."
Browser Use,https://www.pulsemcp.com/servers/cobrowser-browser-use,https://github.com/co-browser/browser-use-mcp-server,co-browser,browser-use-mcp-server,413,7920.0,"Browser Use MCP Server provides an async browser automation server using OpenAI's GPT-4o model. It enables remote browser tasks through a flexible MCP interface, allowing AI agents to navigate websites, perform actions, and extract content with configurable browser contexts and detailed task tracking."
kubectl,https://www.pulsemcp.com/servers/rohitg00-kubectl,https://github.com/rohitg00/kubectl-mcp-server,rohitg00,kubectl-mcp-server,402,2947.0,"kubectl-mcp-tool is an MCP server that enables natural language interaction with Kubernetes clusters, allowing AI assistants like Cursor, Claude, and WindSurf to perform kubectl operations through conversational commands. Developed by Rohit Ghumare under the MIT license, it features a minimal wrapper approach for better compatibility across different MCP SDK versions, supports multiple transport protocols (stdio and SSE), and includes specialized implementations for various AI assistants. The tool translates natural language queries into kubectl commands, handles resource management operations, and provides diagnostic capabilities, making it particularly valuable for developers who want to manage their Kubernetes resources through AI assistants without memorizing complex kubectl syntax."
Notte Browser,https://www.pulsemcp.com/servers/nottelabs-browser,https://github.com/nottelabs/notte/tree/HEAD/packages/notte-mcp,nottelabs,notte,388,,"Notte MCP Server provides a bridge between AI assistants and Notte's cloud browser technology, enabling web automation and scraping capabilities. It offers tools for managing browser sessions, taking screenshots, observing page elements, scraping data, and executing actions on web pages. The server also includes an agent/operator feature that can autonomously complete specified tasks on websites. Built on FastMCP with tight integration to the Notte SDK, it's particularly valuable for applications requiring web interaction capabilities without managing browser automation directly."
DBHub (Universal Database Gateway),https://www.pulsemcp.com/servers/bytebase-dbhub,https://github.com/bytebase/dbhub,bytebase,dbhub,383,22913.0,"DBHub is a universal database gateway implementing the MCP server interface, allowing AI assistants to connect to and explore different databases like PostgreSQL, MySQL, SQLite, and DuckDB. Developed by Bytebase, it provides capabilities for browsing tables, viewing schema information, running read-only SQL queries, and includes safety checks to prevent dangerous operations. The implementation is containerized with Docker for easy deployment and supports both stdio transport for direct integration with tools like Claude Desktop and SSE transport for browser and network clients, making it particularly valuable for AI assistants that need to access and analyze data stored in various database systems."
Docker Compose,https://www.pulsemcp.com/servers/ckreiling-mcp-server-docker,https://github.com/ckreiling/mcp-server-docker,ckreiling,mcp-server-docker,381,,"This MCP server, developed by ckreiling, provides seamless integration with Docker containers. It implements a Python-based interface for managing containers, images, networks, and volumes through the Docker SDK. The server exposes tools for common Docker operations like creating, running, and removing containers, as well as fetching logs and stats. By leveraging natural language processing, it enables AI assistants to easily compose and manage Docker deployments through conversational interactions. The implementation is particularly useful for scenarios requiring dynamic container orchestration, such as deploying microservices, setting up development environments, or managing containerized applications through natural language commands to an AI assistant. The server focuses on core Docker functionality while prioritizing safety by restricting access to sensitive options."
OpenAPI Link,https://www.pulsemcp.com/servers/automation-ai-labs-openapi-link,https://github.com/automation-ai-labs/mcp-link,automation-ai-labs,mcp-link,355,,"MCP-Link is a server implementation that converts OpenAPI specifications into MCP-compatible endpoints, enabling AI assistants to interact with any API described in OpenAPI format. Written in Go, it features a simple HTTP server that parses OpenAPI YAML/JSON files, transforms API endpoints into MCP tools, and handles authentication through header forwarding. The implementation supports path filtering, parameter mapping, and various authentication methods, making it ideal for developers who want to quickly expose existing APIs to AI assistants without writing custom MCP adapters for each service."
LLMS.txt Documentation,https://www.pulsemcp.com/servers/langchain-mcpdoc,https://github.com/langchain-ai/mcpdoc,langchain-ai,mcpdoc,355,29303.0,"MCPDoc is a server that provides documentation access from llms.txt files through the Model Control Protocol. It allows AI assistants to query documentation sources like LangGraph by fetching and parsing llms.txt files from specified URLs. The implementation supports multiple configuration methods including YAML, JSON, or direct URL specification, and offers features like HTTP redirect following and customizable timeouts. Built for integration with Claude Code and other MCP-compatible assistants, MCPDoc enables seamless documentation lookup during coding sessions without requiring users to leave their conversation interface."
Godot,https://www.pulsemcp.com/servers/coding-solo-godot,https://github.com/coding-solo/godot-mcp,coding-solo,godot-mcp,350,,"A Model Context Protocol (MCP) implementation for the Godot game engine, allowing game developers to integrate AI capabilities into their Godot projects."
MiniMax,https://www.pulsemcp.com/servers/minimax-tts-video,https://github.com/minimax-ai/minimax-mcp,minimax-ai,minimax-mcp,346,27746.0,"MiniMax MCP is a server implementation that provides AI assistants with access to MiniMax's text-to-speech, voice cloning, and video generation capabilities. Developed by Roy Wu at MiniMax, this Python-based server handles authentication with the MiniMax API, manages file operations, and provides tools for audio playback and file conversion. The implementation includes robust error handling, fuzzy filename matching, and environment variable configuration, making it particularly useful for applications requiring high-quality voice synthesis and media generation from AI interactions."
Read MySQL,https://www.pulsemcp.com/servers/benborla-mysql,https://github.com/benborla/mcp-server-mysql,benborla,mcp-server-mysql,330,45379.0,"This MCP server, developed by Ben Borla, provides read-only access to MySQL databases for large language models. Built in TypeScript, it integrates with Claude Desktop and enables AI assistants to inspect database schemas and execute read-only SQL queries. The implementation stands out by focusing on security through read-only transactions and offering flexible database connection options. By bridging AI models with relational databases, this server allows AI systems to analyze data patterns, extract insights, and provide data-driven responses. It is particularly useful for scenarios like data exploration, report generation, and building AI assistants that can leverage structured data from MySQL databases while maintaining data integrity."
Google Workspace,https://www.pulsemcp.com/servers/markuspfundstein-mcp-gsuite,https://github.com/markuspfundstein/mcp-gsuite,markuspfundstein,mcp-gsuite,328,20975.0,"This Google Workspace (G Suite) MCP implementation, developed by MarkusPfundstein, provides an interface for AI agents to interact with Gmail and Google Calendar. It enables a wide range of operations including email management, calendar event handling, and multi-account support. This tool is helpful for AI-driven email and calendar management tasks, enabling sophisticated AI assistants that can directly manipulate and analyze Google Workspace data."
Resend Email,https://www.pulsemcp.com/servers/resend-email,https://github.com/resend/mcp-send-email,resend,mcp-send-email,328,,"This MCP server implementation provides email sending functionality using the Resend API. It exposes a 'send-email' tool that allows for sending plain text emails with options for scheduling delivery and configuring reply-to addresses. The server accepts command-line arguments or environment variables for API keys and sender information, making it flexible for different deployment scenarios. Ideal for applications that need to integrate email notifications or communications within AI-assisted workflows."
Android Debug Bridge,https://www.pulsemcp.com/servers/minhalvp-android,https://github.com/minhalvp/android-mcp-server,minhalvp,android-mcp-server,325,,"This MCP server implementation provides a bridge to control and interact with Android devices using ADB (Android Debug Bridge). It offers tools for retrieving installed packages, executing ADB commands, capturing screenshots, and analyzing UI layouts. Developed as an open-source project, it integrates with the MCP CLI and uses libraries like adb-shell and Pillow for device communication and image processing. The server is designed for use cases requiring automated Android device testing, app analysis, or remote device management."
Paelladoc,https://www.pulsemcp.com/servers/jlcases-paelladoc,https://github.com/jlcases/paelladoc,jlcases,paelladoc,324,6339.0,"PAELLADOC is a documentation-focused MCP server implementation that enables AI assistants to generate structured documentation for software projects. Built with a hexagonal architecture in Python, it provides tools for code analysis, template management, and documentation generation through commands like PAELLA (project initialization), CONTINUE (resume work), and GENERATE_DOC (create documentation from code). The system maintains project memory in SQLite, supports various programming styles and Git workflows, and includes a comprehensive template library organized by MECE principles. Particularly valuable for teams seeking consistent documentation practices across different project types, from frontend React applications to Chrome extensions."
Fetch,https://www.pulsemcp.com/servers/zcaceres-fetch,https://github.com/zcaceres/fetch-mcp,zcaceres,fetch-mcp,319,,"This fetch MCP server, developed by Zach Caceres, provides AI assistants with a standardized interface for retrieving web content in various formats. Built using TypeScript and the Model Context Protocol SDK, it offers tools for fetching HTML, JSON, plain text, and Markdown from URLs. The server handles custom headers, HTML parsing, and Markdown conversion, abstracting away the complexities of web scraping and content transformation. It's particularly valuable for AI systems that need to gather and process online information, enabling use cases such as content aggregation, web research, data extraction, and automated summarization of web pages."
Data Exploration,https://www.pulsemcp.com/servers/reading-plus-ai-mcp-server-data-exploration,https://github.com/reading-plus-ai/mcp-server-data-exploration,reading-plus-ai,mcp-server-data-exploration,317,,"This MCP server, developed by ReadingPlus.AI LLC, provides AI assistants with powerful data exploration capabilities for CSV datasets. Built for use with Claude Desktop, it offers tools for loading CSV files, executing Python scripts, and generating insightful visualizations. The server leverages pandas and matplotlib to perform data analysis and create informative charts. By bridging AI models with data science libraries, this implementation enables AI systems to conduct exploratory data analysis, uncover patterns, and derive actionable insights from large datasets. It is particularly useful for scenarios requiring in-depth analysis of tabular data, trend identification, and data-driven decision making across various domains like real estate, weather patterns, or any field with structured CSV data."
YouTube,https://www.pulsemcp.com/servers/anaisbetts-youtube,https://github.com/anaisbetts/mcp-youtube,anaisbetts,mcp-youtube,314,29874.0,"This YouTube MCP server, developed by Anais Betts, enables AI assistants to interact with YouTube video content through subtitles. It leverages yt-dlp to download video subtitles and exposes them via a standardized MCP interface, allowing AI models to analyze and summarize video content without needing to process audio or video directly. By bridging AI systems and YouTube's vast repository of video information, this server facilitates tasks like content summarization, information extraction, and topic analysis from video transcripts. It is particularly useful for AI assistants supporting research, content curation, or educational applications that involve YouTube videos as information sources."
VSCode Debugger,https://www.pulsemcp.com/servers/jasonjmcghee-claude-debugger,https://github.com/jasonjmcghee/claude-debugs-for-you,jasonjmcghee,claude-debugs-for-you,307,,"This MCP server and VS Code extension, created by Jason McGhee during a 2-hour hackathon, enables AI models like Claude to interactively debug code and evaluate expressions. Built as a language-agnostic tool, it integrates with VS Code's debugging capabilities and launch configurations. The implementation allows AI assistants to set breakpoints, step through code, and inspect variables in real-time, providing a unique approach to AI-assisted debugging. It's particularly useful for developers seeking AI guidance in troubleshooting complex code issues, understanding program flow, or learning debugging techniques, without requiring the AI to have direct access to the development environment."
Centralmind (Database Gateway),https://www.pulsemcp.com/servers/centralmind-database-gateway,https://github.com/centralmind/gateway,centralmind,gateway,303,,"Gateway is a database connectivity server that enables AI assistants to interact with multiple database systems through a unified interface. It supports various database engines including PostgreSQL, MySQL, SQLite, MongoDB, Snowflake, and others, while providing advanced features like API key authentication, OAuth integration, PII data protection, and OpenTelemetry monitoring. The server can operate in multiple modes (REST API, MCP SSE, or MCP stdio) and includes plugins for caching, row-level security, and data anonymization, making it particularly useful for creating secure data access layers for AI applications without exposing raw database credentials."
Awesome Cursor,https://www.pulsemcp.com/servers/kleneway-awesome-cursor,https://github.com/kleneway/awesome-cursor-mpc-server,kleneway,awesome-cursor-mpc-server,299,,"This MCP server, developed by kleneway, provides three Cursor Tools: Screenshot, Architect, and Code Review. Built with TypeScript and leveraging the Model Context Protocol SDK, OpenAI, and Puppeteer, it enables AI assistants to capture screenshots, analyze web page structures, and review code. The implementation focuses on automating visual and code-related tasks, making it easier to incorporate these capabilities into AI workflows. It's particularly useful for developers and QA teams who want to streamline web testing, UI analysis, and code review processes, enabling use cases such as automated UI testing, web scraping, and AI-assisted code quality checks without manual intervention."
iTerm,https://www.pulsemcp.com/servers/ferrislucas-iterm,https://github.com/ferrislucas/iterm-mcp,ferrislucas,iterm-mcp,296,23651.0,"iterm-mcp, created by Ferris Lucas, is a Model Context Protocol server that provides direct access to the currently active tab in iTerm. It enables seamless execution of shell commands within the active iTerm session, bridging the gap between AI assistants and terminal operations. This implementation stands out by focusing specifically on iTerm integration, making it particularly useful for developers and system administrators who frequently work in terminal environments. It simplifies workflow automation, remote system management, and interactive scripting tasks by allowing AI systems to directly interact with the user's terminal session. The server is built with TypeScript, ensuring type safety and easy integration with other JavaScript-based tools and environments."
iOS Simulator,https://www.pulsemcp.com/servers/joshuayoes-ios-simulator,https://github.com/joshuayoes/ios-simulator-mcp,joshuayoes,ios-simulator-mcp,296,3459.0,"iOS Simulator MCP Tool provides a bridge between Claude and iOS simulators, enabling interaction with virtual iOS devices through a set of specialized tools. Built by Joshua Yoes, it leverages Facebook's IDB tool to allow users to get information about simulators, control UI interactions (tapping, swiping, typing), and inspect UI elements on screen. The implementation is packaged as an NPM module that can be easily integrated with Cursor via MCP configuration, making it valuable for developers who need to test, debug, or demonstrate iOS applications without manually operating the simulator."
Linear,https://www.pulsemcp.com/servers/jerhadf-linear-mcp-server,https://github.com/jerhadf/linear-mcp-server,jerhadf,linear-mcp-server,287,,"This MCP server, developed by jerhadf, provides seamless integration with Linear's issue tracking system for AI assistants. It offers tools for creating, updating, searching, and commenting on Linear issues through natural language interactions. The server leverages Linear's GraphQL API, enabling AI models to perform operations like creating high-priority bugs, finding in-progress tasks, and analyzing team workloads. Key features include flexible issue filtering, user-specific views, and support for markdown in descriptions and comments. By bridging AI capabilities with Linear's project management features, this implementation enhances issue tracking, task prioritization, and team collaboration through natural language. It is particularly useful for scenarios requiring dynamic project management, AI-assisted bug reporting, and automated task organization in software development workflows."
Obsidian,https://www.pulsemcp.com/servers/stevenstavrakis-obsidian,https://github.com/stevenstavrakis/obsidian-mcp,stevenstavrakis,obsidian-mcp,282,22818.0,"This Obsidian MCP server, developed by Steven Stavrakis, enables AI assistants to interact with Obsidian vaults, providing tools for reading, creating, editing, and managing notes and tags. It integrates with the Model Context Protocol SDK and uses TypeScript for type safety and modularity. The implementation includes features like note creation, content searching, and tag management, making it suitable for users who want to incorporate AI assistance into their knowledge management workflow. It's particularly useful for automating note-taking tasks, organizing information, and enhancing productivity within Obsidian vaults."
MoLing,https://www.pulsemcp.com/servers/gojue-moling,https://github.com/gojue/moling,gojue,moling,278,,"MoLing is an MCP server implementation that enables AI assistants to interact with local system resources through a secure, configurable interface. Developed by CFC4N, it provides services for browser automation (using ChromeDP), file system operations (with strict path validation), and command execution (with allowlist filtering), making it particularly valuable for AI assistants like Claude that need controlled access to local resources. The server supports both stdio and SSE transport methods, includes client configuration tools for popular MCP clients (Claude Desktop, VSCode extensions), and implements robust security measures to prevent unauthorized access to system resources."
WeRead,https://www.pulsemcp.com/servers/weread,https://github.com/freestylefly/mcp-server-weread,freestylefly,mcp-server-weread,274,,"mcp-server-weread is a TypeScript implementation that provides seamless integration between Claude Desktop and WeRead, a popular e-book platform. The server enables AI assistants to access book content, user highlights, and annotations through WeRead's API, with features for efficient cache management to improve performance. This implementation is particularly useful for research workflows, literature analysis, and knowledge management tasks where users need to reference or discuss book content with AI assistance."
Spotify,https://www.pulsemcp.com/servers/varunneal-spotify-mcp,https://github.com/varunneal/spotify-mcp,varunneal,spotify-mcp,273,,"This MCP server, developed by varunneal, provides integration between MCP clients and Spotify. Built on top of the Spotify API, it enables natural language control of Spotify playback, including starting, pausing, and skipping tracks. The server offers tools for searching and retrieving information about tracks, albums, artists, and playlists, as well as managing the Spotify queue. By bridging AI capabilities with Spotify's extensive music library and playback features, this implementation enhances music discovery and control through conversational interfaces. It is particularly useful for hands-free music management, AI-assisted playlist curation, and integrating music playback into broader AI-powered applications and workflows."
Bing Search,https://www.pulsemcp.com/servers/bing-search,https://github.com/microsoft/semanticworkbench/tree/HEAD/mcp-servers/mcp-server-bing-search,microsoft,semanticworkbench,269,,
Giphy,https://www.pulsemcp.com/servers/microsoft-giphy,https://github.com/microsoft/semanticworkbench/tree/HEAD/mcp-servers/mcp-server-giphy,microsoft,semanticworkbench,269,,"Search and Retrieve: Uses the GIPHY API to search for images based on a provided search term.
(Future) Sampling: Employs the MCP ""sampling"" feature to request the assistant to choose the most appropriate image for the context.
Integration: The selected GIPHY image and its metadata are returned to the original assistant tool call, enabling it to be included in assistant responses to users."
Open Deep Research,https://www.pulsemcp.com/servers/microsoft-open-deep-research,https://github.com/microsoft/semanticworkbench/tree/HEAD/mcp-servers/mcp-server-open-deep-research,microsoft,semanticworkbench,269,,"This is a Model Context Protocol (MCP) server that wraps the HuggingFace Open Deep Research project, built on their smolagents library, making the project available for use with MCP clients, such as AI assistants.

This is an early work-in-progress, has limited testing, and requires access to API's that will be replaced in the near future. For now, the following API keys are required to be set in the environment or in a .env file (see .env.example):

OpenAI API Key: https://platform.openai.com/
HuggingFace API Key: https://huggingface.co/
SERP API Key: https://serpapi.com/"
VSCode,https://www.pulsemcp.com/servers/microsoft-vscode,https://github.com/microsoft/semanticworkbench/tree/HEAD/mcp-servers/mcp-server-vscode,microsoft,semanticworkbench,269,,"The VSCode MCP Server is a VSCode extension that acts as a Model Context Protocol (MCP) server integrated directly within VSCode. Its primary purpose is to expose a coding diagnostic tool—namely, the code_checker—which aggregates diagnostic messages (similar to those displayed in VSCode’s Problems panel) and makes them accessible to an external AI assistant via Server-Sent Events (SSE). This allows your assistant to invoke MCP methods and retrieve timely diagnostic information from your workspace."
Microsoft Word,https://www.pulsemcp.com/servers/microsoft-word,https://github.com/microsoft/semanticworkbench/tree/HEAD/mcp-servers/mcp-server-word,microsoft,semanticworkbench,269,,"MCP Server for Interaction with Office Apps
This is a Model Context Protocol (MCP) server project.

Warning: Be VERY careful with open Word or PowerPoint apps. Your content may be unexpectedly modified or deleted.

"
Kubernetes,https://www.pulsemcp.com/servers/strowk-kubernetes,https://github.com/strowk/mcp-k8s-go,strowk,mcp-k8s-go,268,9990.0,"This Kubernetes MCP implementation, developed by strowk, provides a versatile interface for language models to interact with Kubernetes clusters. It enables AI agents to perform essential Kubernetes operations such as listing contexts, pods, and events, as well as retrieving pod logs across different namespaces and contexts. The implementation distinguishes itself by offering a dual-purpose design - functioning both as an MCP server and a library for building custom Kubernetes resource servers. By leveraging kubeconfig configurations, it ensures seamless integration with existing Kubernetes setups. This tool is particularly powerful for AI-driven Kubernetes management, debugging, and monitoring tasks, enabling more sophisticated AI assistants that can directly interact with and analyze Kubernetes environments. Its integration with Claude Desktop and straightforward installation process make it easily accessible for developers and DevOps professionals working on advanced AI projects involving Kubernetes automation and management."
Docker,https://www.pulsemcp.com/servers/quantgeekdev-docker-mcp,https://github.com/quantgeekdev/docker-mcp,quantgeekdev,docker-mcp,263,49101.0,"This Docker MCP server, developed by Alex Andru and Ali Sadykov, enables AI assistants to manage Docker containers and compose stacks through natural language. Built with Python, it provides tools for creating containers, deploying compose stacks, retrieving logs, and monitoring container status. The server leverages Docker's containerization capabilities, allowing AI models to orchestrate complex multi-container applications. Key features include seamless integration with Claude Desktop and a debugging interface for development. By bridging natural language processing with Docker operations, this implementation extends AI capabilities for tasks like application deployment, container management, and log analysis. It is particularly useful for scenarios requiring dynamic container orchestration, microservices management, and automated DevOps workflows in response to natural language instructions."
DeepWiki Markdown Converter,https://www.pulsemcp.com/servers/regenrek-deepwiki-markdown-converter,https://github.com/regenrek/deepwiki-mcp,regenrek,deepwiki-mcp,259,989.0,"DeepWiki MCP Server provides a specialized tool for converting DeepWiki repositories into Markdown format. Built by Kevin Kern, it crawls DeepWiki.com repositories, sanitizes the HTML content by removing headers, footers, navigation elements, and ads, then converts the cleaned content into well-formatted Markdown. The server supports both aggregate mode (single document) and pages mode (structured content), maintains functional links between pages, and implements domain safety restrictions to prevent phishing attempts. It's particularly valuable for developers and researchers who need to extract and reference DeepWiki documentation in Markdown-compatible environments."
Home Assistant,https://www.pulsemcp.com/servers/tevonsb-homeassistant-mcp,https://github.com/tevonsb/homeassistant-mcp,tevonsb,homeassistant-mcp,257,,"This MCP server, developed by tevonsb, enables AI assistants like Claude to interact with Home Assistant smart home systems. Built in TypeScript, it provides capabilities for querying device states, controlling smart home devices, and accessing floor plans and area information. The implementation stands out by offering a standardized interface to Home Assistant's rich ecosystem of integrations and automations. By connecting AI capabilities with smart home functionality, this server allows AI systems to understand and control various aspects of a user's living space. It is particularly useful for voice-controlled smart home assistants, automated home management scenarios, and building context-aware AI applications that can respond to and influence the physical environment."
Jupyter Notebook,https://www.pulsemcp.com/servers/datalayer-jupyter,https://github.com/datalayer/jupyter-mcp-server,datalayer,jupyter-mcp-server,256,,"This Jupyter MCP server implementation, developed by Datalayer, provides a bridge between the Model Context Protocol (MCP) and Jupyter environments. It leverages Jupyter's kernel and notebook model clients to enable AI assistants to interact with Jupyter notebooks, execute code, and manipulate notebook content. The server is designed to run in a Docker container, making it easily deployable and scalable. It's particularly useful for data scientists and researchers who want to integrate AI-powered tools into their Jupyter workflows, enabling automated analysis, code generation, and interactive data exploration within notebook environments."
tfmcp,https://www.pulsemcp.com/servers/nwiizo-terraform,https://github.com/nwiizo/tfmcp,nwiizo,tfmcp,253,,"tfmcp is a Rust-based MCP server for Terraform infrastructure management, providing AI-assisted tools for analyzing, initializing, planning, and applying Terraform configurations. Built by nwiizo, it enables seamless integration with Claude Desktop through a JSON-RPC 2.0 protocol, supporting operations like resource listing, configuration validation, and state management across different project environments."
Memory Bank,https://www.pulsemcp.com/servers/alioshr-memory-bank,https://github.com/alioshr/memory-bank-mcp,alioshr,memory-bank-mcp,250,,"This Memory Bank MCP server implementation transforms traditional file-based memory banks into a centralized, remotely accessible service. Developed by Aliosh Pimenta, it enables multi-project memory bank management with consistent file structure and validation. The server provides full MCP protocol implementation for read/write operations, project listing, and file management. It ensures proper isolation between project memory banks and includes security features like path traversal prevention. The implementation is particularly useful for AI assistants and development teams requiring structured, remotely accessible project documentation and context management across multiple projects."
AWS,https://www.pulsemcp.com/servers/rafalwilinski-aws,https://github.com/rafalwilinski/aws-mcp,rafalwilinski,aws-mcp,248,,"This AWS MCP server, developed by an unknown author, provides a bridge between AI assistants and AWS services using the AWS SDK v2. It implements credential management, profile selection, and region configuration to enable secure access to AWS resources. The server exposes tools for executing AWS-related code, listing available credentials, and selecting profiles. By abstracting AWS SDK interactions into a standardized MCP interface, it allows AI systems to perform a wide range of AWS operations, from basic resource management to complex data analysis. This implementation is particularly useful for scenarios requiring programmatic AWS access, cloud infrastructure management, or data processing using AWS services, facilitating use cases such as automated deployments, resource monitoring, and large-scale data analytics in the AWS ecosystem."
Web Research,https://www.pulsemcp.com/servers/mzxrai-web-research,https://github.com/mzxrai/mcp-webresearch,mzxrai,mcp-webresearch,244,28528.0,"This MCP server, developed by mzxrai, enables AI assistants like Claude to perform real-time web research. It integrates Google search, webpage content extraction, and screenshot capture capabilities. The server maintains a research session tracking visited pages, search queries, and extracted content. It is designed for seamless integration with the Claude Desktop app on macOS and Windows. By bridging AI capabilities with live web data, this implementation empowers more informed and up-to-date conversations. It is particularly useful for scenarios requiring fact-checking, gathering current information on topics, or conducting multi-source research in AI-assisted writing, analysis, and decision-making tasks."
Gmail,https://www.pulsemcp.com/servers/gongrzhe-gmail-autoauth,https://github.com/gongrzhe/gmail-mcp-server,gongrzhe,gmail-mcp-server,241,,"This Gmail AutoAuth MCP server, developed by gongrzhe, provides a standardized interface for AI assistants to interact with Gmail through natural language. Built with TypeScript and leveraging the Model Context Protocol SDK, it offers tools for sending emails, reading messages, searching emails, managing labels, and more. The server implements OAuth2 authentication with auto browser launch, supporting both desktop and web application credentials. By abstracting Gmail API operations and handling authentication complexities, it enables AI systems to easily manage email communications. This implementation is particularly valuable for applications requiring programmatic email access, facilitating use cases such as automated email management, intelligent email filtering, and AI-driven communication assistance."
Memory Service,https://www.pulsemcp.com/servers/doobidoo-memory-service,https://github.com/doobidoo/mcp-memory-service,doobidoo,mcp-memory-service,240,,"This MCP implementation, built with Python, provides a versatile framework for integrating with ChromaDB, a vector database for AI applications. It utilizes sentence transformers for efficient text embedding and tokenization, enabling advanced natural language processing capabilities. The implementation supports websocket connections, allowing for real-time data exchange and updates. By combining these technologies, it offers a robust solution for building AI-powered applications that require semantic search, document similarity comparisons, and content recommendation systems. This implementation is particularly well-suited for use cases such as intelligent document retrieval, content categorization, and personalized information delivery across various domains."
HuggingFace Spaces Connector,https://www.pulsemcp.com/servers/evalstate-mcp-hfspace,https://github.com/evalstate/mcp-hfspace,evalstate,mcp-hfspace,240,13988.0,"This MCP server, developed by evalstate, enables AI assistants to seamlessly interact with Hugging Face Spaces. It provides a streamlined setup process where users simply specify desired spaces as arguments, with the server automatically configuring appropriate endpoints. Built for integration with Claude Desktop, it offers capabilities like image generation, vision tasks, text-to-speech, and more through various pre-configured spaces. The implementation handles authentication, file management, and API interactions, abstracting away complexities of working with Hugging Face. It is particularly useful for developers and researchers who want to leverage diverse AI models and tools from Hugging Face Spaces without manual configuration, enabling rapid prototyping and experimentation across a wide range of AI tasks."
Filesystem,https://www.pulsemcp.com/servers/mark3labs-filesystem-server,https://github.com/mark3labs/mcp-filesystem-server,mark3labs,mcp-filesystem-server,232,,"This filesystem MCP server, developed by mark3labs, provides a secure interface for language models to interact with local filesystems. It enables AI agents to read, write, search, and manipulate files and directories through a controlled API. By restricting operations to specified directories, it maintains data security while allowing AI systems to work with file-based data and content. The server integrates with Claude Desktop and can be run standalone, offering deployment flexibility. This implementation is particularly useful for AI assistants designed to manage documents, analyze local datasets, or automate file organization tasks using the local filesystem as a backend."
OpenAPI Transformer,https://www.pulsemcp.com/servers/loopwork-openapi-transformer,https://github.com/loopwork-ai/emcee,loopwork-ai,emcee,227,,"Emcee is a CLI tool that creates Model Context Protocol servers from OpenAPI specifications, enabling AI assistants to interact with REST APIs through JSON-RPC. Developed by Loopwork AI, it processes an OpenAPI spec (from a file, URL, or stdin) and automatically generates tools that map to API endpoints, handling authentication, parameter validation, and response formatting. The tool supports various authentication methods including Bearer tokens and Basic auth, with secure 1Password integration for credential management. Emcee is particularly useful for quickly exposing existing APIs to Claude Desktop and other MCP-compatible assistants without writing custom integration code."
